trail,classifier,parameter,train_acc,test_acc,train_f1,test_f1
0,KNN,2,0.5878170305525761,0.16982192406308172,0.5415675906646066,0.11951750396592271
0,KNN,7,0.4391889553994672,0.2725580415159285,0.29686467140072514,0.13359318405535592
0,KNN,12,0.4085671776063112,0.3091215622914545,0.22124090909286812,0.12590896512286878
0,KNN,17,0.3950728348500052,0.3310386006813951,0.18368500615088937,0.12344126454003239
0,KNN,22,0.3859728037092142,0.34347230515261146,0.1612975226655001,0.1189383205271036
0,KNN,27,0.3820110030794782,0.3500052685188437,0.14542396175108918,0.11243103158624015
0,KNN,32,0.37849901387495244,0.3547469354782059,0.134201451669646,0.11023787298537222
0,KNN,37,0.3771495795993218,0.35839977520986266,0.12603774328399567,0.10629622169526054
0,KNN,42,0.3768727725684232,0.36187699764672826,0.12113475099086227,0.1038705298487522
0,KNN,47,0.3759558492785717,0.3617716272698535,0.11498364006858094,0.0997423900958249
0,Decision Tree,5,0.3696584893256289,0.36556496083734324,0.36965848932562884,0.36556496083734324
0,Decision Tree,15,0.5594962112037646,0.3017807593691827,0.5594962112037646,0.3017807593691827
0,Decision Tree,25,0.8077402166015016,0.23307927364686876,0.8077402166015016,0.23307927364686876
0,Decision Tree,35,0.8745026123663541,0.21597414913420673,0.8745026123663541,0.21597414913420676
0,Decision Tree,45,0.8793294349676481,0.2122510624846335,0.8793294349676481,0.2122510624846335
0,Decision Tree,55,0.8793640358465105,0.2112676056338028,0.8793640358465105,0.2112676056338028
0,Decision Tree,65,0.8793640358465105,0.21045976607776334,0.8793640358465105,0.21045976607776334
0,Decision Tree,75,0.8793640358465105,0.21277791436900706,0.8793640358465105,0.21277791436900706
0,Decision Tree,85,0.8793640358465105,0.21182958097713464,0.8793640358465105,0.21182958097713464
0,Decision Tree,95,0.8793640358465105,0.20930069193214149,0.8793640358465105,0.20930069193214149
0,Random Forest,5,0.36443375661741806,0.36233360261318537,0.05341904725677406,0.053193080155722286
0,Random Forest,15,0.5490813466662053,0.36243897299006006,0.4020403632500262,0.08750829620595096
0,Random Forest,25,0.8777204941005502,0.323206069333708,0.8691128358617274,0.12159575420360998
0,Random Forest,35,0.8793640358465105,0.3136524884970672,0.8694068765353837,0.12403124250050199
0,Random Forest,45,0.8793640358465105,0.3134417477433178,0.8696831741086658,0.12522367351627384
